"# Training Configuration: epochs=40, batch_size=16"
"# Learning Rate: 0.0001, Weight Decay: 0.0, Alpha: 0.5, Beta: 0.5"
# Timestamp: 2025-09-20 02:15:28

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved,alpha,beta,curriculum_phase
1,2.409975528717041,2.3819987332379378,0.004694835680751174,0.1267605633802817,0.0001,10.79918384552002,0.0,0.0,0.05,0.95,Category-first curriculum phase (epoch 1/15)
2,2.4086546897888184,2.337135906572695,0.004694835680751174,0.2300469483568075,0.0001,10.717258214950562,0.0,0.0,0.054916789834893724,0.9450832101651063,Category-first curriculum phase (epoch 2/15)
3,2.3566782474517822,2.321150205753468,0.009389671361502348,0.2535211267605634,0.0001,10.719741821289062,0.0,0.0,0.0694522720304148,0.9305477279695852,Category-first curriculum phase (epoch 3/15)
4,2.4002532958984375,2.3447436138435647,0.009389671361502348,0.2887323943661972,0.0001,10.810503244400024,0.0,0.0,0.09297117626563683,0.9070288237343631,Category-first curriculum phase (epoch 4/15)
5,2.2949488162994385,2.390914625591702,0.007042253521126761,0.31690140845070425,0.0001,11.999329328536987,0.0,0.0,0.1244456135692569,0.8755543864307431,Category-first curriculum phase (epoch 5/15)
6,2.45465087890625,2.465813892859,0.014084507042253521,0.323943661971831,0.0001,10.651945352554321,0.0,0.0,0.16249999999999998,0.8375,Category-first curriculum phase (epoch 6/15)
7,2.5513734817504883,2.5591363641950817,0.011737089201877934,0.3615023474178404,0.0001,10.977029085159302,0.0,0.0,0.20547117626563682,0.7945288237343632,Category-first curriculum phase (epoch 7/15)
8,2.5338215827941895,2.660906226546676,0.018779342723004695,0.3427230046948357,0.0001,10.269946098327637,0.0,0.0,0.251481095764778,0.748518904235222,Category-first curriculum phase (epoch 8/15)
9,2.889397144317627,2.76773351210135,0.018779342723004695,0.3732394366197183,0.0001,10.463983297348022,0.0,0.0,0.298518904235222,0.701481095764778,Category-first curriculum phase (epoch 9/15)
10,2.913058280944824,2.874207955819589,0.01643192488262911,0.38028169014084506,0.0001,10.340500593185425,0.0,0.0,0.34452882373436317,0.6554711762656369,Category-first curriculum phase (epoch 10/15)
11,2.841297149658203,2.9759191053885,0.01643192488262911,0.3779342723004695,0.0001,10.723910093307495,0.0,0.0,0.38749999999999996,0.6125,Category-first curriculum phase (epoch 11/15)
12,3.1351914405822754,3.065537761758875,0.023474178403755867,0.44835680751173707,0.0001,10.475106477737427,0.0,0.0,0.425554386430743,0.574445613569257,Category-first curriculum phase (epoch 12/15)
13,3.2236154079437256,3.1385877397325306,0.018779342723004695,0.4084507042253521,0.0001,10.880638599395752,0.0,0.0,0.45702882373436315,0.5429711762656368,Category-first curriculum phase (epoch 13/15)
14,3.061312675476074,3.1885898378160267,0.01643192488262911,0.44835680751173707,0.0001,11.194121837615967,0.0,0.0,0.4805477279695852,0.5194522720304148,Category-first curriculum phase (epoch 14/15)
15,3.2957868576049805,3.2159354598433882,0.023474178403755867,0.5117370892018779,0.0001,10.471068620681763,0.0,0.0,0.49508321016510626,0.5049167898348937,Category-first curriculum phase (epoch 15/15)
16,3.1904807090759277,3.2145087983873157,0.025821596244131457,0.460093896713615,0.0001,10.618194580078125,0.0,0.0,0.5,0.5,Balanced phase
17,3.2579681873321533,3.2025547469103777,0.03286384976525822,0.4765258215962441,0.0001,11.007864952087402,0.0,0.0,0.5,0.5,Balanced phase
18,3.2654435634613037,3.185357102641353,0.03051643192488263,0.5539906103286385,0.0001,11.158632755279541,0.0,0.0,0.5,0.5,Balanced phase
19,3.2442216873168945,3.1690695462403475,0.03286384976525822,0.5375586854460094,0.0001,10.991195917129517,0.0,0.0,0.5,0.5,Balanced phase
20,3.257253885269165,3.153864198260837,0.035211267605633804,0.5845070422535211,0.0001,10.914083480834961,0.0,0.0,0.5,0.5,Balanced phase
21,3.204249620437622,3.137007889924226,0.035211267605633804,0.607981220657277,0.0001,11.179245233535767,0.0,0.0,0.5,0.5,Balanced phase
22,3.075521469116211,3.122301278290925,0.03755868544600939,0.5938967136150235,0.0001,10.697100162506104,0.0,0.0,0.5,0.5,Balanced phase
23,2.934175968170166,3.103595009556523,0.03286384976525822,0.607981220657277,0.0001,10.986614227294922,0.0,0.0,0.5,0.5,Balanced phase
24,3.0922253131866455,3.0870604426772505,0.03286384976525822,0.6408450704225352,0.0001,10.891568422317505,0.0,0.0,0.5,0.5,Balanced phase
25,3.169227123260498,3.069017666357535,0.03286384976525822,0.6291079812206573,0.0001,10.906304597854614,0.0,0.0,0.5,0.5,Balanced phase
26,3.0409297943115234,3.053813793041088,0.03990610328638498,0.6643192488262911,0.0001,10.83336067199707,0.0,0.0,0.5,0.5,Balanced phase
27,3.1524627208709717,3.03440233513161,0.03755868544600939,0.6643192488262911,0.0001,10.846509456634521,0.0,0.0,0.5,0.5,Balanced phase
28,3.128633975982666,3.020055982801649,0.03755868544600939,0.647887323943662,0.0001,10.757363557815552,0.0,0.0,0.5,0.5,Balanced phase
29,2.96649169921875,3.0009500980377197,0.03755868544600939,0.7347417840375586,0.0001,10.817828178405762,0.0,0.0,0.5,0.5,Balanced phase
30,3.017429828643799,2.985634609504982,0.03755868544600939,0.7347417840375586,5e-05,11.079448461532593,0.0,0.0,0.5,0.5,Balanced phase
31,3.066805362701416,2.969675337826764,0.03990610328638498,0.744131455399061,5e-05,10.713078737258911,0.0,0.0,0.5,0.5,Balanced phase
32,2.9075136184692383,2.961127660892628,0.04225352112676056,0.744131455399061,5e-05,11.265882015228271,0.0,0.0,0.5,0.5,Balanced phase
33,3.0719103813171387,2.956963539123535,0.03755868544600939,0.7652582159624414,5e-05,11.61628770828247,0.0,0.0,0.5,0.5,Balanced phase
34,2.8869943618774414,2.944128469184593,0.04225352112676056,0.7723004694835681,5e-05,11.39591097831726,0.0,0.0,0.5,0.5,Balanced phase
35,3.0169336795806885,2.9361256493462458,0.04460093896713615,0.784037558685446,5e-05,11.184235334396362,0.0,0.0,0.5,0.5,Balanced phase
36,2.9310379028320312,2.9269506666395397,0.03990610328638498,0.795774647887324,5e-05,11.264743328094482,0.0,0.0,0.5,0.5,Balanced phase
37,2.8739423751831055,2.916882594426473,0.04225352112676056,0.8215962441314554,5e-05,11.050159931182861,0.0,0.0,0.5,0.5,Balanced phase
38,2.9760351181030273,2.9085032321788646,0.03990610328638498,0.8145539906103286,5e-05,11.039525508880615,0.0,0.0,0.5,0.5,Balanced phase
39,2.95674991607666,2.902047210269504,0.04225352112676056,0.8309859154929577,2.5e-05,10.814751625061035,0.0,0.0,0.5,0.5,Balanced phase
40,2.858330011367798,2.895115048797042,0.04225352112676056,0.8333333333333334,2.5e-05,10.89969539642334,0.0,0.0,0.5,0.5,Balanced phase
